,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,U.S. Plug-in Electric Vehicle Sales by Model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mercedes GLE 550e Hybrid,PHEV,,,,,, 212 , 430 , 642 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mercedes S550 Plug In,PHEV,,,,, 118 , 550 , 583 ," 1,251 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mini Cooper Countryman Plug In,PHEV,,,,,,, 475 , 475 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mitsubishi i-MiEV,EV, 76 , 588 ," 1,029 ", 196 , 115 , 94 , 6 ," 2,104 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nissan LEAF,EV," 9,674 "," 9,819 "," 22,610 "," 30,200 "," 17,269 "," 14,006 "," 11,230 "," 114,808 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Porsche Cayenne S E-Hybrid,PHEV,,,, 112 ," 1,163 "," 2,111 "," 1,574 "," 4,960 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Porsche Panamera S E-Hybrid,PHEV,,, 51 , 879 , 407 , 393 , 18 ," 1,748 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Smart ED,EV, 310 , 2 ,,,,,, 312 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Smart for Two EV,EV,, 137 , 923 ," 2,594 "," 1,387 ", 657 , 543 ," 6,241 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tesla Model 3,EV,,,,,,," 1,770 "," 1,770 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tesla Model S,EV,," 2,171 "," 19,000 "," 16,750 "," 26,200 "," 30,200 "," 26,500 "," 120,821 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tesla Model X,EV,,,,, 208 ," 19,600 "," 21,700 "," 41,508 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toyota Prius Prime,PHEV,," 12,749 "," 12,088 "," 13,264 "," 4,191 "," 2,474 "," 20,936 "," 65,702 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toyota RAV4 EV,EV,, 192 ," 1,005 "," 1,184 ", 18 ,,," 2,399 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Volvo S90 Plug In ,PHEV,,,,,,, 112 , 112 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Volvo XC60,PHEV,,,,,,, 518 , 518 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Volvo XC90,PHEV,,,,, 86 ," 2,015 "," 2,196 "," 4,297 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VW e-Golf,EV,,,, 357 ," 4,232 "," 3,937 "," 3,534 "," 12,060 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,," 17,731 "," 53,234 "," 96,702 "," 118,773 "," 113,923 "," 159,568 "," 195,245 "," 755,176 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Data Source: http://hybridcars.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PEVs include plug-in HEVs and extended range EVs, but do not include Neighborhood Electric Vehicles, Low Speed Electric Vehicles, or two-wheeled electric vehicles. Only full-sized vehicles sold in the U.S. and capable of 60mph are listed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HybridCars.com has split sales tables into Plug-in hybrid and All-electric as of Feb 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Last updated 10/22/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Acronyms:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EV: All-electric vehicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PEV: Plug-in electric vehicle. These include both all-electric and plug-in hybrid electric vehicles.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PHEV: Plug-in hybrid electric vehicle. These include any vehicle that has both an electric motor and gasoline engine, including extended range electric vehicles.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
